Repo,FilePath,LOC,ComponentType,Dependencies,ReuseDecision,RefactorNotes,EstimatedHours_Min,EstimatedHours_Max,RiskRating,Priority,TestingRequired
missinggold,services/geminiService.ts,113,AI Service,@google/generative-ai,Refactor,"Adapt event suggestions to loan risk assessment. Replace event schema with risk factors schema. Change from creative content generation to financial analysis with low temperature.",6,10,Medium,P0,Yes
missinggold,services/adminService.ts,200,Admin Logic,realtimeService|notificationService,Refactor,"Adapt user management to loan officer/applicant management. Extract security event logging for audit trail. Repurpose content moderation for document validation.",10,16,Medium,P0,Yes
missinggold,eventra-saas/src/lib/auth.ts,101,Authentication,next-auth|prisma|bcryptjs,As-is,"NextAuth configuration is production-ready. Add banking-specific roles (loan_officer, senior_underwriter, risk_analyst). Add MFA support and session timeout policies.",2,4,Low,P0,Yes
missinggold,eventra-saas/middleware.ts,31,Request Handling,next,Refactor,"Add route protection for banking endpoints. Implement role-based access control middleware. Add audit logging for all protected routes.",4,8,Low,P1,Yes
missinggold,components/AdminDashboard.tsx,350,Dashboard UI,react|recharts,Refactor,"Adapt metrics display for loan applications. Replace event analytics with risk score distribution. Modify filters for loan status/risk level. Change KPI cards to show approval rates, avg risk score, pending reviews.",14,20,Medium,P1,Yes
missinggold,components/AuthModal.tsx,180,Auth UI,react|next-auth,As-is,"Login/Register modal is reusable as-is. Add MFA input field component. Style adjustments for banking theme (remove neon, use professional blue).",2,4,Low,P1,No
missinggold,components/AnalyticsDashboard.tsx,420,Analytics,react|recharts|date-fns,Refactor,"Replace event metrics with loan portfolio analytics. Add risk score waterfall chart. Implement time-series approval rate visualization. Add configVersion tracking chart.",18,24,High,P1,Yes
missinggold,eventra-saas/prisma/schema.prisma,150,Database Schema,prisma,Replace,"Complete new schema required. Entities: LoanApplication, Applicant, RiskAssessment, RiskConfiguration, AuditLog, Document, User (with banking roles). Add PII encryption flags. Implement soft deletes for compliance.",20,32,High,P0,Yes
missinggold,types.ts,300,Type Definitions,typescript,Refactor,"Extract multilingual LocalizedString type. Repurpose Event type structure for LoanApplication. Add financial-specific types (CreditScore, DebtRatio, EmploymentInfo). Remove venue/event-specific types.",8,12,Low,P0,No
missinggold,eventra-saas/src/lib/i18n.ts,45,Internationalization,next-intl,As-is,"i18n configuration is reusable for Arabic/English/Kurdish banking interface. Add banking-specific translation keys. No structural changes needed.",1,2,Low,P2,No
missinggold,eventra-saas/tailwind.config.js,80,Styling Config,tailwindcss,Refactor,"Remove neon color scheme. Add banking color palette (professional blues, grays, status colors for risk levels). Keep responsive breakpoints. Add custom animations for data updates.",2,4,Low,P2,No
missinggold,components/EventCard.tsx,200,Card Component,react|lucide-react,Refactor,"Adapt to ApplicationCard. Replace event details with loan application info. Add risk score badge. Change CTA from 'View Event' to 'Review Application'. Add status indicators.",6,10,Low,P1,No
missinggold,components/CreateEventModal.tsx,300,Form Modal,react|formik,Refactor,"Adapt to CreateApplicationModal for loan officers. Replace event fields with applicant info fields. Add document upload section. Implement form validation for financial data. Add save-as-draft functionality.",12,18,Medium,P1,Yes
missinggold,components/FilterTags.tsx,120,Filter UI,react,As-is,"Generic filter tag component is reusable. Update filter options for loan-specific filters (status, risk level, region, amount range).",1,2,Low,P2,No
